BestN:20, BestA:21, BestF:0.009034, AvgF:0.025116
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025581
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025397
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025418
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025351
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025095
BestN:20, BestA:21, BestF:0.009034, AvgF:0.024904
BestN:20, BestA:21, BestF:0.009034, AvgF:0.024751
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025706
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025298
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025503
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025580
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025505
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025132
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025292
BestN:20, BestA:21, BestF:0.009034, AvgF:0.024784
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025436
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025937
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025925
BestN:20, BestA:21, BestF:0.009034, AvgF:0.026220
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025288
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025606
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025801
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025977
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025810
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025563
BestN:20, BestA:21, BestF:0.009034, AvgF:0.024731
BestN:20, BestA:21, BestF:0.009034, AvgF:0.024994
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025192
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025422
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025702
BestN:20, BestA:21, BestF:0.009034, AvgF:0.026086
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025668
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025019
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025634
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025628
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025360
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025724
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025785
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025432
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025213
BestN:20, BestA:21, BestF:0.009034, AvgF:0.024992
BestN:20, BestA:21, BestF:0.009034, AvgF:0.024857
