BestN:25, BestA:15, BestF:0.005746, AvgF:0.110610
BestN:25, BestA:15, BestF:0.005746, AvgF:0.054898
BestN:24, BestA:16, BestF:0.005596, AvgF:0.016333
BestN:21, BestA:24, BestF:0.005394, AvgF:0.016071
BestN:22, BestA:19, BestF:0.005345, AvgF:0.016061
BestN:22, BestA:19, BestF:0.005345, AvgF:0.015376
BestN:22, BestA:19, BestF:0.005345, AvgF:0.015342
BestN:22, BestA:19, BestF:0.005345, AvgF:0.015235
BestN:23, BestA:14, BestF:0.005296, AvgF:0.014835
BestN:23, BestA:10, BestF:0.005097, AvgF:0.013814
BestN:23, BestA:10, BestF:0.005097, AvgF:0.013892
BestN:23, BestA:10, BestF:0.005097, AvgF:0.013666
BestN:23, BestA:10, BestF:0.005097, AvgF:0.013479
BestN:23, BestA:10, BestF:0.005097, AvgF:0.013370
BestN:23, BestA:10, BestF:0.005097, AvgF:0.013321
BestN:23, BestA:10, BestF:0.005097, AvgF:0.013864
BestN:23, BestA:10, BestF:0.005097, AvgF:0.013735
BestN:23, BestA:10, BestF:0.005097, AvgF:0.013959
BestN:23, BestA:10, BestF:0.005097, AvgF:0.013944
BestN:23, BestA:10, BestF:0.005097, AvgF:0.014335
BestN:23, BestA:10, BestF:0.005097, AvgF:0.014900
BestN:23, BestA:10, BestF:0.005097, AvgF:0.015259
BestN:23, BestA:10, BestF:0.005097, AvgF:0.014890
BestN:23, BestA:10, BestF:0.005097, AvgF:0.015270
BestN:23, BestA:10, BestF:0.005097, AvgF:0.015207
BestN:23, BestA:10, BestF:0.005097, AvgF:0.015481
BestN:23, BestA:10, BestF:0.005097, AvgF:0.016042
BestN:23, BestA:10, BestF:0.005097, AvgF:0.015460
BestN:23, BestA:10, BestF:0.005097, AvgF:0.016003
BestN:23, BestA:10, BestF:0.005097, AvgF:0.015544
BestN:23, BestA:10, BestF:0.005097, AvgF:0.015666
BestN:23, BestA:10, BestF:0.005097, AvgF:0.015734
BestN:23, BestA:10, BestF:0.005097, AvgF:0.015495
BestN:23, BestA:10, BestF:0.005097, AvgF:0.015883
BestN:23, BestA:10, BestF:0.005097, AvgF:0.016210
BestN:23, BestA:10, BestF:0.005097, AvgF:0.015816
BestN:23, BestA:10, BestF:0.005097, AvgF:0.016159
BestN:23, BestA:10, BestF:0.005097, AvgF:0.015896
BestN:23, BestA:10, BestF:0.005097, AvgF:0.015416
BestN:23, BestA:10, BestF:0.005097, AvgF:0.015658
BestN:23, BestA:10, BestF:0.005097, AvgF:0.015719
BestN:23, BestA:10, BestF:0.005097, AvgF:0.015091
BestN:23, BestA:10, BestF:0.005097, AvgF:0.015213
BestN:23, BestA:10, BestF:0.005097, AvgF:0.014839
BestN:23, BestA:10, BestF:0.005097, AvgF:0.015438
BestN:23, BestA:10, BestF:0.005097, AvgF:0.015496
BestN:23, BestA:10, BestF:0.005097, AvgF:0.015816
BestN:23, BestA:10, BestF:0.005097, AvgF:0.015841
BestN:23, BestA:10, BestF:0.005097, AvgF:0.016151
BestN:23, BestA:10, BestF:0.005097, AvgF:0.016122
BestN:23, BestA:10, BestF:0.005097, AvgF:0.016553
BestN:23, BestA:10, BestF:0.005097, AvgF:0.016509
BestN:23, BestA:10, BestF:0.005097, AvgF:0.016221
BestN:23, BestA:10, BestF:0.005097, AvgF:0.016343
BestN:23, BestA:10, BestF:0.005097, AvgF:0.016366
BestN:23, BestA:10, BestF:0.005097, AvgF:0.016023
BestN:23, BestA:10, BestF:0.005097, AvgF:0.016118
BestN:23, BestA:10, BestF:0.005097, AvgF:0.016192
BestN:23, BestA:10, BestF:0.005097, AvgF:0.017195
BestN:23, BestA:10, BestF:0.005097, AvgF:0.016692
BestN:23, BestA:10, BestF:0.005097, AvgF:0.017360
BestN:23, BestA:10, BestF:0.005097, AvgF:0.016820
BestN:23, BestA:10, BestF:0.005097, AvgF:0.016772
BestN:23, BestA:10, BestF:0.005097, AvgF:0.017009
BestN:23, BestA:10, BestF:0.005097, AvgF:0.016596
BestN:23, BestA:10, BestF:0.005097, AvgF:0.016283
BestN:23, BestA:10, BestF:0.005097, AvgF:0.016157
BestN:23, BestA:10, BestF:0.005097, AvgF:0.016305
BestN:23, BestA:10, BestF:0.005097, AvgF:0.016224
BestN:23, BestA:10, BestF:0.005097, AvgF:0.015956
BestN:23, BestA:10, BestF:0.005097, AvgF:0.015984
BestN:23, BestA:10, BestF:0.005097, AvgF:0.015399
BestN:23, BestA:10, BestF:0.005097, AvgF:0.015948
BestN:23, BestA:10, BestF:0.005097, AvgF:0.015834
BestN:23, BestA:10, BestF:0.005097, AvgF:0.015916
BestN:23, BestA:10, BestF:0.005097, AvgF:0.016147
BestN:23, BestA:10, BestF:0.005097, AvgF:0.016101
BestN:23, BestA:10, BestF:0.005097, AvgF:0.016503
BestN:23, BestA:10, BestF:0.005097, AvgF:0.017093
BestN:23, BestA:10, BestF:0.005097, AvgF:0.017049
BestN:23, BestA:10, BestF:0.005097, AvgF:0.016362
BestN:23, BestA:10, BestF:0.005097, AvgF:0.017035
BestN:23, BestA:10, BestF:0.005097, AvgF:0.016562
BestN:23, BestA:10, BestF:0.005097, AvgF:0.016871
BestN:23, BestA:10, BestF:0.005097, AvgF:0.016744
BestN:23, BestA:10, BestF:0.005097, AvgF:0.017387
BestN:23, BestA:10, BestF:0.005097, AvgF:0.017419
BestN:23, BestA:10, BestF:0.005097, AvgF:0.017722
BestN:23, BestA:10, BestF:0.005097, AvgF:0.018064
BestN:23, BestA:10, BestF:0.005097, AvgF:0.017953
BestN:23, BestA:10, BestF:0.005097, AvgF:0.018066
BestN:23, BestA:10, BestF:0.005097, AvgF:0.018269
BestN:23, BestA:10, BestF:0.005097, AvgF:0.018200
BestN:23, BestA:10, BestF:0.005097, AvgF:0.018625
BestN:23, BestA:10, BestF:0.005097, AvgF:0.017992
BestN:23, BestA:10, BestF:0.005097, AvgF:0.018406
