BestN:24, BestA:18, BestF:0.005695, AvgF:0.115185
BestN:24, BestA:18, BestF:0.005695, AvgF:0.050108
BestN:25, BestA:11, BestF:0.005547, AvgF:0.014004
BestN:23, BestA:18, BestF:0.005495, AvgF:0.013282
BestN:22, BestA:18, BestF:0.005295, AvgF:0.012788
BestN:24, BestA:7, BestF:0.005148, AvgF:0.012566
BestN:24, BestA:7, BestF:0.005148, AvgF:0.012143
BestN:21, BestA:18, BestF:0.005095, AvgF:0.011988
BestN:20, BestA:18, BestF:0.004895, AvgF:0.011705
BestN:20, BestA:18, BestF:0.004895, AvgF:0.011700
BestN:21, BestA:13, BestF:0.004847, AvgF:0.011604
BestN:20, BestA:16, BestF:0.004796, AvgF:0.011498
BestN:20, BestA:16, BestF:0.004796, AvgF:0.011465
BestN:21, BestA:11, BestF:0.004747, AvgF:0.011376
BestN:20, BestA:14, BestF:0.004696, AvgF:0.011366
BestN:20, BestA:14, BestF:0.004696, AvgF:0.011178
BestN:20, BestA:14, BestF:0.004696, AvgF:0.011040
BestN:20, BestA:14, BestF:0.004696, AvgF:0.011028
BestN:20, BestA:14, BestF:0.004696, AvgF:0.010833
BestN:20, BestA:14, BestF:0.004696, AvgF:0.010726
BestN:20, BestA:14, BestF:0.004696, AvgF:0.010738
BestN:20, BestA:14, BestF:0.004696, AvgF:0.010706
BestN:20, BestA:14, BestF:0.004696, AvgF:0.010692
BestN:20, BestA:14, BestF:0.004696, AvgF:0.010753
BestN:20, BestA:14, BestF:0.004696, AvgF:0.010617
BestN:20, BestA:14, BestF:0.004696, AvgF:0.010764
BestN:20, BestA:14, BestF:0.004696, AvgF:0.010714
BestN:20, BestA:13, BestF:0.004647, AvgF:0.010726
BestN:20, BestA:13, BestF:0.004647, AvgF:0.010733
BestN:20, BestA:13, BestF:0.004647, AvgF:0.010713
BestN:20, BestA:13, BestF:0.004647, AvgF:0.010676
BestN:20, BestA:13, BestF:0.004647, AvgF:0.010779
BestN:20, BestA:13, BestF:0.004647, AvgF:0.010593
BestN:20, BestA:13, BestF:0.004647, AvgF:0.010637
BestN:20, BestA:13, BestF:0.004647, AvgF:0.010551
BestN:20, BestA:12, BestF:0.004597, AvgF:0.010633
BestN:20, BestA:12, BestF:0.004597, AvgF:0.010627
BestN:20, BestA:12, BestF:0.004597, AvgF:0.010781
BestN:20, BestA:12, BestF:0.004597, AvgF:0.010678
BestN:20, BestA:12, BestF:0.004597, AvgF:0.010664
BestN:20, BestA:12, BestF:0.004597, AvgF:0.010553
BestN:20, BestA:12, BestF:0.004597, AvgF:0.010628
BestN:20, BestA:12, BestF:0.004597, AvgF:0.010528
BestN:20, BestA:12, BestF:0.004597, AvgF:0.010572
BestN:20, BestA:12, BestF:0.004597, AvgF:0.010415
BestN:20, BestA:12, BestF:0.004597, AvgF:0.010522
BestN:20, BestA:12, BestF:0.004597, AvgF:0.010438
BestN:20, BestA:12, BestF:0.004597, AvgF:0.010424
BestN:20, BestA:12, BestF:0.004597, AvgF:0.010459
BestN:20, BestA:12, BestF:0.004597, AvgF:0.010593
BestN:20, BestA:12, BestF:0.004597, AvgF:0.010513
BestN:20, BestA:12, BestF:0.004597, AvgF:0.010486
BestN:20, BestA:12, BestF:0.004597, AvgF:0.010550
BestN:20, BestA:12, BestF:0.004597, AvgF:0.010559
BestN:20, BestA:12, BestF:0.004597, AvgF:0.010612
BestN:20, BestA:12, BestF:0.004597, AvgF:0.010549
BestN:20, BestA:12, BestF:0.004597, AvgF:0.010583
BestN:20, BestA:12, BestF:0.004597, AvgF:0.010597
BestN:20, BestA:12, BestF:0.004597, AvgF:0.010539
BestN:20, BestA:12, BestF:0.004597, AvgF:0.010490
BestN:20, BestA:12, BestF:0.004597, AvgF:0.010515
BestN:20, BestA:12, BestF:0.004597, AvgF:0.010507
BestN:20, BestA:12, BestF:0.004597, AvgF:0.010409
BestN:20, BestA:12, BestF:0.004597, AvgF:0.010498
BestN:20, BestA:12, BestF:0.004597, AvgF:0.010541
BestN:20, BestA:12, BestF:0.004597, AvgF:0.010505
BestN:20, BestA:12, BestF:0.004597, AvgF:0.010576
BestN:20, BestA:12, BestF:0.004597, AvgF:0.010591
BestN:20, BestA:12, BestF:0.004597, AvgF:0.010423
BestN:20, BestA:12, BestF:0.004597, AvgF:0.010532
BestN:20, BestA:12, BestF:0.004597, AvgF:0.010543
BestN:20, BestA:12, BestF:0.004597, AvgF:0.010494
BestN:20, BestA:12, BestF:0.004597, AvgF:0.010460
BestN:20, BestA:12, BestF:0.004597, AvgF:0.010504
BestN:20, BestA:12, BestF:0.004597, AvgF:0.010533
BestN:20, BestA:12, BestF:0.004597, AvgF:0.010565
BestN:20, BestA:12, BestF:0.004597, AvgF:0.010489
BestN:20, BestA:12, BestF:0.004597, AvgF:0.010547
BestN:20, BestA:12, BestF:0.004597, AvgF:0.010588
BestN:20, BestA:12, BestF:0.004597, AvgF:0.010549
BestN:20, BestA:12, BestF:0.004597, AvgF:0.010704
BestN:20, BestA:12, BestF:0.004597, AvgF:0.010580
BestN:20, BestA:12, BestF:0.004597, AvgF:0.010580
BestN:20, BestA:12, BestF:0.004597, AvgF:0.010609
BestN:20, BestA:12, BestF:0.004597, AvgF:0.010659
BestN:20, BestA:12, BestF:0.004597, AvgF:0.010485
BestN:20, BestA:12, BestF:0.004597, AvgF:0.010638
BestN:20, BestA:12, BestF:0.004597, AvgF:0.010546
BestN:20, BestA:12, BestF:0.004597, AvgF:0.010485
BestN:20, BestA:12, BestF:0.004597, AvgF:0.010572
BestN:20, BestA:12, BestF:0.004597, AvgF:0.010524
BestN:20, BestA:12, BestF:0.004597, AvgF:0.010677
BestN:20, BestA:12, BestF:0.004597, AvgF:0.010570
BestN:20, BestA:12, BestF:0.004597, AvgF:0.010607
BestN:20, BestA:11, BestF:0.004547, AvgF:0.010630
BestN:20, BestA:11, BestF:0.004547, AvgF:0.010586
BestN:20, BestA:11, BestF:0.004547, AvgF:0.010546
BestN:20, BestA:11, BestF:0.004547, AvgF:0.010585
BestN:20, BestA:11, BestF:0.004547, AvgF:0.010640
BestN:20, BestA:11, BestF:0.004547, AvgF:0.010339
BestN:20, BestA:11, BestF:0.004547, AvgF:0.010294
BestN:20, BestA:11, BestF:0.004547, AvgF:0.010422
BestN:20, BestA:11, BestF:0.004547, AvgF:0.010348
BestN:20, BestA:11, BestF:0.004547, AvgF:0.010296
BestN:20, BestA:11, BestF:0.004547, AvgF:0.010332
BestN:20, BestA:11, BestF:0.004547, AvgF:0.010243
BestN:20, BestA:10, BestF:0.004497, AvgF:0.010355
BestN:20, BestA:10, BestF:0.004497, AvgF:0.010283
BestN:20, BestA:10, BestF:0.004497, AvgF:0.010297
BestN:20, BestA:10, BestF:0.004497, AvgF:0.010277
BestN:20, BestA:10, BestF:0.004497, AvgF:0.010361
BestN:20, BestA:10, BestF:0.004497, AvgF:0.010300
BestN:20, BestA:10, BestF:0.004497, AvgF:0.010257
BestN:20, BestA:10, BestF:0.004497, AvgF:0.010179
BestN:20, BestA:10, BestF:0.004497, AvgF:0.010155
BestN:20, BestA:9, BestF:0.004448, AvgF:0.010163
BestN:20, BestA:9, BestF:0.004448, AvgF:0.010192
BestN:20, BestA:9, BestF:0.004448, AvgF:0.010130
BestN:20, BestA:9, BestF:0.004448, AvgF:0.010174
BestN:20, BestA:9, BestF:0.004448, AvgF:0.010151
BestN:20, BestA:9, BestF:0.004448, AvgF:0.010200
BestN:20, BestA:9, BestF:0.004448, AvgF:0.010171
BestN:20, BestA:9, BestF:0.004448, AvgF:0.010058
BestN:20, BestA:9, BestF:0.004448, AvgF:0.010105
BestN:20, BestA:9, BestF:0.004448, AvgF:0.010147
BestN:20, BestA:9, BestF:0.004448, AvgF:0.010094
BestN:20, BestA:9, BestF:0.004448, AvgF:0.010146
BestN:20, BestA:9, BestF:0.004448, AvgF:0.010099
BestN:20, BestA:9, BestF:0.004448, AvgF:0.010108
BestN:20, BestA:9, BestF:0.004448, AvgF:0.010086
BestN:20, BestA:9, BestF:0.004448, AvgF:0.010102
BestN:20, BestA:9, BestF:0.004448, AvgF:0.010136
BestN:20, BestA:9, BestF:0.004448, AvgF:0.010078
BestN:20, BestA:9, BestF:0.004448, AvgF:0.010074
BestN:20, BestA:9, BestF:0.004448, AvgF:0.010142
BestN:20, BestA:9, BestF:0.004448, AvgF:0.010039
BestN:20, BestA:9, BestF:0.004448, AvgF:0.010124
BestN:20, BestA:9, BestF:0.004448, AvgF:0.010081
BestN:20, BestA:9, BestF:0.004448, AvgF:0.010164
BestN:20, BestA:9, BestF:0.004448, AvgF:0.010155
BestN:20, BestA:9, BestF:0.004448, AvgF:0.010175
BestN:20, BestA:9, BestF:0.004448, AvgF:0.010034
BestN:20, BestA:9, BestF:0.004448, AvgF:0.010140
BestN:20, BestA:9, BestF:0.004448, AvgF:0.010196
BestN:20, BestA:9, BestF:0.004448, AvgF:0.010110
BestN:20, BestA:9, BestF:0.004448, AvgF:0.010056
BestN:20, BestA:9, BestF:0.004448, AvgF:0.010094
BestN:20, BestA:9, BestF:0.004448, AvgF:0.010073
BestN:20, BestA:9, BestF:0.004448, AvgF:0.010116
BestN:20, BestA:9, BestF:0.004448, AvgF:0.010163
BestN:20, BestA:9, BestF:0.004448, AvgF:0.010056
BestN:20, BestA:9, BestF:0.004448, AvgF:0.010197
BestN:20, BestA:9, BestF:0.004448, AvgF:0.010273
BestN:20, BestA:9, BestF:0.004448, AvgF:0.010107
BestN:20, BestA:9, BestF:0.004448, AvgF:0.010168
BestN:20, BestA:9, BestF:0.004448, AvgF:0.010114
BestN:20, BestA:9, BestF:0.004448, AvgF:0.010071
BestN:20, BestA:9, BestF:0.004448, AvgF:0.010201
BestN:20, BestA:9, BestF:0.004448, AvgF:0.010127
BestN:20, BestA:9, BestF:0.004448, AvgF:0.010055
BestN:20, BestA:9, BestF:0.004448, AvgF:0.010137
BestN:20, BestA:9, BestF:0.004448, AvgF:0.010101
BestN:20, BestA:9, BestF:0.004448, AvgF:0.010094
BestN:20, BestA:9, BestF:0.004448, AvgF:0.010043
BestN:20, BestA:9, BestF:0.004448, AvgF:0.010088
BestN:20, BestA:9, BestF:0.004448, AvgF:0.010116
BestN:20, BestA:9, BestF:0.004448, AvgF:0.010129
BestN:20, BestA:9, BestF:0.004448, AvgF:0.010017
BestN:20, BestA:9, BestF:0.004448, AvgF:0.010088
BestN:20, BestA:9, BestF:0.004448, AvgF:0.010205
BestN:20, BestA:9, BestF:0.004448, AvgF:0.010154
BestN:20, BestA:9, BestF:0.004448, AvgF:0.010147
